Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"COLONY_SS", 11, 1,    6340.67,   -0.1,    0.9984, 2,    6340.67, -120.1,    0.9984, 3,    6340.67,  119.9,    0.9984
"3_WAY_GOA_DAIRY_1", 11, 1,    6329.98,   -0.1,   0.99671, 2,    6329.98, -120.1,   0.99671, 3,    6329.98,  119.9,   0.99671
"FORENSIC", 11, 1,    6322.91,   -0.1,    0.9956, 2,    6322.91, -120.1,    0.9956, 3,    6322.91,  119.9,    0.9956
"DADA_VAIDYA", 11, 1,    6315.92,   -0.1,    0.9945, 2,    6315.92, -120.1,    0.9945, 3,    6315.92,  119.9,    0.9945
"3_WAY_DADA_VAIDYA", 11, 1,    6315.39,   -0.1,   0.99442, 2,    6315.39, -120.1,   0.99442, 3,    6315.39,  119.9,   0.99442
"KAYJI_GARDEN", 11, 1,       6306,   -0.1,   0.99294, 2,       6306, -120.1,   0.99294, 3,       6306,  119.9,   0.99294
"FIBERGLASS", 11, 1,       6300,   -0.1,   0.99199, 2,       6300, -120.1,   0.99199, 3,       6300,  119.9,   0.99199
"4_WAY_SAISERVICE", 11, 1,    6297.76,   -0.1,   0.99164, 2,    6297.76, -120.1,   0.99164, 3,    6297.76,  119.9,   0.99164
"AGARWAL_HTC", 11, 1,    6296.82,   -0.1,   0.99149, 2,    6296.82, -120.1,   0.99149, 3,    6296.82,  119.9,   0.99149
"YUMMY_ICECREAM", 11, 1,    6297.15,   -0.1,   0.99154, 2,    6297.15, -120.1,   0.99154, 3,    6297.15,  119.9,   0.99154
"SHIVLAL", 11, 1,    6297.42,   -0.1,   0.99159, 2,    6297.42, -120.1,   0.99159, 3,    6297.42,  119.9,   0.99159
"KELBAI", 11, 1,    6299.95,   -0.1,   0.99199, 2,    6299.95, -120.1,   0.99199, 3,    6299.95,  119.9,   0.99199
"3_WAY_DOCTOR", 11, 1,    6301.59,   -0.1,   0.99224, 2,    6301.59, -120.1,   0.99224, 3,    6301.59,  119.9,   0.99224
"SURYA_MASALA", 11, 1,    6301.36,   -0.1,   0.99221, 2,    6301.36, -120.1,   0.99221, 3,    6301.36,  119.9,   0.99221
"PISGAL", 11, 1,    6300.98,   -0.1,   0.99215, 2,    6300.98, -120.1,   0.99215, 3,    6300.98,  119.9,   0.99215
"3_WAY_GOADAIRY2", 11, 1,    6329.75,   -0.1,   0.99668, 2,    6329.75, -120.1,   0.99668, 3,    6329.75,  119.9,   0.99668
"DAIRY_HTC", 11, 1,    6328.97,   -0.1,   0.99655, 2,    6328.97, -120.1,   0.99655, 3,    6328.97,  119.9,   0.99655
"DAIRY_OLD", 11, 1,    6327.91,   -0.1,   0.99639, 2,    6327.91, -120.1,   0.99639, 3,    6327.91,  119.9,   0.99639
"3_WAY_MICROWAVE", 11, 1,    6322.07,   -0.1,   0.99547, 2,    6322.07, -120.1,   0.99547, 3,    6322.07,  119.9,   0.99547
"MICROWAVE", 11, 1,    6322.05,   -0.1,   0.99547, 2,    6322.05, -120.1,   0.99547, 3,    6322.05,  119.9,   0.99547
"3_WAY_VEREKAR", 11, 1,    6319.25,   -0.1,   0.99502, 2,    6319.25, -120.1,   0.99502, 3,    6319.25,  119.9,   0.99502
"3_WAY_SAHAKARI", 11, 1,    6319.25,   -0.1,   0.99502, 2,    6319.25, -120.1,   0.99502, 3,    6319.25,  119.9,   0.99502
"ECAP_HTC", 11, 1,    6295.73,   -0.2,   0.99132, 2,    6295.73, -120.2,   0.99132, 3,    6295.73,  119.8,   0.99132
"PRAKASH", 11, 1,    6295.62,   -0.2,    0.9913, 2,    6295.62, -120.2,    0.9913, 3,    6295.62,  119.8,    0.9913
"KAYJI_SKYLINE", 11, 1,    6295.16,   -0.2,   0.99123, 2,    6295.16, -120.2,   0.99123, 3,    6295.16,  119.8,   0.99123
"RUDRA_DEVELOPER", 11, 1,    6294.98,   -0.2,    0.9912, 2,    6294.98, -120.2,    0.9912, 3,    6294.98,  119.8,    0.9912
"3_WAY_KHADPABANDH", 11, 1,    6294.98,   -0.2,    0.9912, 2,    6294.98, -120.2,    0.9912, 3,    6294.98,  119.8,    0.9912
"ASSOCIATE", 11, 1,    6294.71,   -0.2,   0.99116, 2,    6294.71, -120.2,   0.99116, 3,    6294.71,  119.8,   0.99116
"KV_SCHOOL", 11, 1,    6294.36,   -0.2,    0.9911, 2,    6294.36, -120.2,    0.9911, 3,    6294.36,  119.8,    0.9911
"KORDE", 11, 1,    6293.75,   -0.2,   0.99101, 2,    6293.75, -120.2,   0.99101, 3,    6293.75,  119.8,   0.99101
"KAPAT_FACTORY", 11, 1,    6293.17,   -0.2,   0.99092, 2,    6293.17, -120.2,   0.99092, 3,    6293.17,  119.8,   0.99092
"2_WAY_CONEMI", 11, 1,    6293.17,   -0.2,   0.99092, 2,    6293.17, -120.2,   0.99092, 3,    6293.17,  119.8,   0.99092
"3_WAY_COPPERWADA_2", 11, 1,    6313.63,   -0.1,   0.99414, 2,    6313.63, -120.1,   0.99414, 3,    6313.63,  119.9,   0.99414
"3_WAY_COPPERWADA_1", 11, 1,       6313,   -0.1,   0.99404, 2,       6313, -120.1,   0.99404, 3,       6313,  119.9,   0.99404
"DOCTOR_BAKALE", 11, 1,    6304.31,   -0.1,   0.99267, 2,    6304.31, -120.1,   0.99267, 3,    6304.31,  119.9,   0.99267
"4_WAY_VEREKAR", 11, 1,    6316.98,   -0.1,   0.99467, 2,    6316.98, -120.1,   0.99467, 3,    6316.98,  119.9,   0.99467
"FORENSICBUS1", 0.415, 1,    230.173,  -31.2,   0.96066, 2,    230.173, -151.2,   0.96066, 3,    230.173,   88.8,   0.96066
"DADA_VAIDYABUS2", 0.415, 1,     228.64,  -31.4,   0.95426, 2,     228.64, -151.4,   0.95426, 3,     228.64,   88.6,   0.95426
"KAYJI_GARDENBUS3", 0.415, 1,    231.676,  -30.9,   0.96693, 2,    231.676, -150.9,   0.96693, 3,    231.676,   89.1,   0.96693
"FIBERGLASSBUS4", 0.415, 1,    230.245,  -31.1,   0.96095, 2,    230.245, -151.1,   0.96095, 3,    230.245,   88.9,   0.96095
"AGARWAL_HTCBUS5", 0.415, 1,    229.034,  -31.2,    0.9559, 2,    229.034, -151.2,    0.9559, 3,    229.034,   88.8,    0.9559
"YUMMY_ICECREAMBUS6", 0.415, 1,    229.024,  -31.3,   0.95586, 2,    229.024, -151.3,   0.95586, 3,    229.024,   88.7,   0.95586
"SHIVLALBUS7", 0.415, 1,    234.512,  -30.5,   0.97876, 2,    234.512, -150.5,   0.97876, 3,    234.512,   89.5,   0.97876
"KELBAIBUS8", 0.415, 1,     231.34,  -31.0,   0.96552, 2,     231.34, -151.0,   0.96552, 3,     231.34,   89.0,   0.96552
"SURYA_MASALABUS9", 0.415, 1,    229.329,  -31.2,   0.95713, 2,    229.329, -151.2,   0.95713, 3,    229.329,   88.8,   0.95713
"DOCTOR_BAKALEBUS10", 0.415, 1,    231.483,  -31.0,   0.96612, 2,    231.483, -151.0,   0.96612, 3,    231.483,   89.0,   0.96612
"ECAP_HTCBUS11", 0.415, 1,    229.108,  -31.2,   0.95621, 2,    229.108, -151.2,   0.95621, 3,    229.108,   88.8,   0.95621
"PRAKASHBUS12", 0.415, 1,    228.964,  -31.3,   0.95561, 2,    228.964, -151.3,   0.95561, 3,    228.964,   88.7,   0.95561
"KAYJI_SKYLINEBUS13", 0.415, 1,     228.83,  -31.3,   0.95505, 2,     228.83, -151.3,   0.95505, 3,     228.83,   88.7,   0.95505
"RUDRA_DEVELOPERBUS14", 0.415, 1,    228.904,  -31.3,   0.95536, 2,    228.904, -151.3,   0.95536, 3,    228.904,   88.7,   0.95536
"ASSOCIATEBUS15", 0.415, 1,    229.938,  -31.2,   0.95967, 2,    229.938, -151.2,   0.95967, 3,    229.938,   88.8,   0.95967
"KV_SCHOOLBUS16", 0.415, 1,     228.88,  -31.3,   0.95526, 2,     228.88, -151.3,   0.95526, 3,     228.88,   88.7,   0.95526
"KORDEBUS17", 0.415, 1,    232.185,  -30.8,   0.96905, 2,    232.185, -150.8,   0.96905, 3,    232.185,   89.2,   0.96905
"KAPAT_FACTORYBUS18", 0.415, 1,    228.868,  -31.3,   0.95521, 2,    228.868, -151.3,   0.95521, 3,    228.868,   88.7,   0.95521
"VEREKARBUS19", 0.415, 1,    231.027,  -31.0,   0.96422, 2,    231.027, -151.0,   0.96422, 3,    231.027,   89.0,   0.96422
"MICROWAVEBUS20", 0.415, 1,    231.075,  -31.1,   0.96442, 2,    231.075, -151.1,   0.96442, 3,    231.075,   88.9,   0.96442
"DAIRY_OLDBUS21", 0.415, 1,    230.369,  -31.1,   0.96147, 2,    230.369, -151.1,   0.96147, 3,    230.369,   88.9,   0.96147
"DAIRY_HTCBUS22", 0.415, 1,    230.294,  -31.2,   0.96116, 2,    230.294, -151.2,   0.96116, 3,    230.294,   88.8,   0.96116
"PISGALBUS23", 0.415, 1,    230.253,  -31.1,   0.96099, 2,    230.253, -151.1,   0.96099, 3,    230.253,   88.9,   0.96099
