Year, LDCurve, Hour, Meter, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "11 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "11 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "11 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "11 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "11 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
0, , 24, "UNDIRFEEDER" ,      46995,      23683,       3281,       3698,      45986,      22286,       3190,       3545,          0,          0,        385,          0,       1009,       1397,         92,        159,        755,       1397,        254,          0,         81,         11,        514,        496,        514,          0,        514,          0,          0,          0,          0,          0,       1009,          0,          0,          0,          0,          0,          0,        514,          0,          0,          0,          0,          0,          0,        242,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,      45986,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERMAIN"  ,      50705,      25640,       3538,       3973,      49531,      23988,       3437,       3819,        179,         14,        418,         14,       1174,       1651,        101,        143,       1174,       1651,          0,          0,        101,          0,        175,        998,        175,          0,        175,          0,          0,          0,          0,          0,       1174,          0,          0,          0,          0,          0,          0,        175,          0,          0,          0,          0,          0,          0,        998,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      49531,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERPONDA" ,      73136,      36782,       4244,       4763,      71149,      34458,       4096,       4551,          0,          0,       1299,          0,       1988,       2324,        148,        179,       1988,       2324,          0,          0,        148,          0,        854,       1134,        854,          0,        854,          0,          0,          0,          0,          0,       1988,          0,          0,          0,          0,          0,          0,        854,          0,          0,          0,          0,          0,          0,       1134,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      71149,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERKHADPABANDH",      55308,      27695,       3525,       3954,      91367,      44250,       5762,       6402,          0,          0,        873,          0,       2223,       2605,        198,        239,       2223,       2605,          0,          0,        198,          0,        870,       1352,        870,          0,        870,          0,          0,          0,          0,          0,       2223,          0,          0,          0,          0,          0,          0,        870,          0,          0,          0,          0,          0,          0,       1352,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      91367,          0,          0,          0,          0,          0,          0
0, , 24, "FARMAGUDIFEEDER",      38352,      19204,       2441,       2739,          0,          0,          0,          0,          0,          0,          0,          0,         71,         43,          6,          4,         71,         43,          0,          0,          6,          0,         71,          0,         71,          0,         71,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
0, , 24, "UNDIRFEEDER" ,      46995,      23683,       3281,       3698,      45986,      22286,       3190,       3545,          0,          0,        385,          0,       1009,       1397,         92,        159,        755,       1397,        254,          0,         81,         11,        514,        496,        514,          0,        514,          0,          0,          0,          0,          0,       1009,          0,          0,          0,          0,          0,          0,        514,          0,          0,          0,          0,          0,          0,        242,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,      45986,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERMAIN"  ,      50705,      25640,       3538,       3973,      49531,      23988,       3437,       3819,        179,         14,        418,         14,       1174,       1651,        101,        143,       1174,       1651,          0,          0,        101,          0,        175,        998,        175,          0,        175,          0,          0,          0,          0,          0,       1174,          0,          0,          0,          0,          0,          0,        175,          0,          0,          0,          0,          0,          0,        998,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      49531,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERPONDA" ,      73136,      36782,       4244,       4763,      71149,      34458,       4096,       4551,          0,          0,       1299,          0,       1988,       2324,        148,        179,       1988,       2324,          0,          0,        148,          0,        854,       1134,        854,          0,        854,          0,          0,          0,          0,          0,       1988,          0,          0,          0,          0,          0,          0,        854,          0,          0,          0,          0,          0,          0,       1134,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      71149,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERKHADPABANDH",      55308,      27695,       3525,       3954,      91367,      44250,       5762,       6402,          0,          0,        873,          0,       2223,       2605,        198,        239,       2223,       2605,          0,          0,        198,          0,        870,       1352,        870,          0,        870,          0,          0,          0,          0,          0,       2223,          0,          0,          0,          0,          0,          0,        870,          0,          0,          0,          0,          0,          0,       1352,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      91367,          0,          0,          0,          0,          0,          0
0, , 24, "FARMAGUDIFEEDER",      38352,      19204,       2441,       2739,          0,          0,          0,          0,          0,          0,          0,          0,         71,         43,          6,          4,         71,         43,          0,          0,          6,          0,         71,          0,         71,          0,         71,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
0, , 24, "UNDIRFEEDER" ,      46995,      23683,       3281,       3698,      45986,      22286,       3190,       3545,          0,          0,        385,          0,       1009,       1397,         92,        159,        755,       1397,        254,          0,         81,         11,        514,        496,        514,          0,        514,          0,          0,          0,          0,          0,       1009,          0,          0,          0,          0,          0,          0,        514,          0,          0,          0,          0,          0,          0,        242,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,      45986,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERMAIN"  ,      50705,      25640,       3538,       3973,      49531,      23988,       3437,       3819,        179,         14,        418,         14,       1174,       1651,        101,        143,       1174,       1651,          0,          0,        101,          0,        175,        998,        175,          0,        175,          0,          0,          0,          0,          0,       1174,          0,          0,          0,          0,          0,          0,        175,          0,          0,          0,          0,          0,          0,        998,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      49531,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERPONDA" ,      73136,      36782,       4244,       4763,      71149,      34458,       4096,       4551,          0,          0,       1299,          0,       1988,       2324,        148,        179,       1988,       2324,          0,          0,        148,          0,        854,       1134,        854,          0,        854,          0,          0,          0,          0,          0,       1988,          0,          0,          0,          0,          0,          0,        854,          0,          0,          0,          0,          0,          0,       1134,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      71149,          0,          0,          0,          0,          0,          0
0, , 24, "FEEDERKHADPABANDH",      55308,      27695,       3525,       3954,      91367,      44250,       5762,       6402,          0,          0,        873,          0,       2223,       2605,        198,        239,       2223,       2605,          0,          0,        198,          0,        870,       1352,        870,          0,        870,          0,          0,          0,          0,          0,       2223,          0,          0,          0,          0,          0,          0,        870,          0,          0,          0,          0,          0,          0,       1352,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      91367,          0,          0,          0,          0,          0,          0
0, , 24, "FARMAGUDIFEEDER",      38352,      19204,       2441,       2739,          0,          0,          0,          0,          0,          0,          0,          0,         71,         43,          6,          4,         71,         43,          0,          0,          6,          0,         71,          0,         71,          0,         71,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,         71,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
